Feature,Importance
flags__hypertensive,0.4736669
num__glucose,0.103086576
num__diastolic_bp,0.045826573
num__age,0.04549278
num__systolic_bp,0.0442449
num__bmi,0.04290785
num__weight,0.042447433
flags__cardiovascular_disease,0.042334426
num__height,0.040814757
num__pulse_rate,0.039551094
flags__family_diabetes,0.027012443
gender__gender_Male,0.026779113
flags__family_hypertension,0.02583514
flags__stroke,0.0
